key,registration-moment,incident-type,description,severity-level,draft-mode,key:flight-assignment
# registration-moment – standard variations
activityLog-05,2000/01/01 00:00,TURBULENCE,"Registro de prueba muy antiguo: turbulencia histórica",3,false,flight-assignment-15

# description – standard variations
activityLog-09,2020/05/07 14:15,LOW_FUEL,"Alarma de combustible bajo a 500 kg restantes",10,false,flight-assignment-19
activityLog-10,2020/05/07 14:15,LOW_FUEL,"B",10,false,flight-assignment-20
activityLog-13,2020/05/07 14:15,LOW_FUEL,"F" * 255 (255 caracteres de descripción al máximo permitido),10,false,flight-assignment-23

# severity-level – standard variations
activityLog-14,2020/05/07 14:15,DOOR_WARNING,"Advertencia de puerta 1L mal cerrada; revisada y asegurada",0,false,flight-assignment-24
# Activity logs para flight-assignment-43 (leg completado, member-01)
activityLog-20,2024/12/18 08:30,SYSTEMS_CHECK,"Chequeo de sistemas completado sin incidencias",2,false,flight-assignment-43
activityLog-21,2024/12/18 09:00,TURBULENCE,"Ligera turbulencia durante el descenso, pasajeros seguros",5,false,flight-assignment-43
activityLog-22,2024/12/18 09:15,CREW_REPORT,"Tripulación reporta condiciones óptimas y sin incidencias mayores",1,true,flight-assignment-43


