key,registration-moment,incident-type,description,severity-level,draft-mode,key:flight-assignment
# registration-moment – standard variations
activityLog-05,2000/01/01 00:00,TURBULENCE,"Registro de prueba muy antiguo: turbulencia histórica",3,false,flight-assignment-15

# description – standard variations
activityLog-09,2020/05/07 14:15,LOW_FUEL,"Alarma de combustible bajo a 500 kg restantes",10,false,flight-assignment-19
activityLog-10,2020/05/07 14:15,LOW_FUEL,"B",10,false,flight-assignment-20
activityLog-13,2020/05/07 14:15,LOW_FUEL,"F" * 255 (255 caracteres de descripción al máximo permitido),10,false,flight-assignment-23

# severity-level – standard variations
activityLog-14,2020/05/07 14:15,DOOR_WARNING,"Advertencia de puerta 1L mal cerrada; revisada y asegurada",0,false,flight-assignment-24
